title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,83,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,France,top200,MOVE_UP,60115
All I Want for Christmas Is You,8,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Germany,top200,MOVE_UP,314631
All I Want for Christmas Is You,7,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Global,top200,MOVE_UP,3145919
All I Want for Christmas Is You,2,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Greece,top200,MOVE_UP,5687
All I Want for Christmas Is You,33,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Hong Kong,top200,MOVE_UP,5603
All I Want for Christmas Is You,188,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Guatemala,top200,NEW_ENTRY,1171
All I Want for Christmas Is You,5,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Hungary,top200,MOVE_UP,8270
All I Want for Christmas Is You,200,2017-12-02,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Hungary,top200,NEW_ENTRY,1042
All I Want for Christmas Is You,10,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,MOVE_DOWN,4469
All I Want for Christmas Is You,99,2017-12-02,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Iceland,top200,MOVE_UP,1328
All I Want for Christmas Is You,129,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Indonesia,top200,MOVE_UP,11175
All I Want for Christmas Is You,4,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Ireland,top200,SAME_POSITION,38206
All I Want for Christmas Is You,40,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Italy,top200,MOVE_UP,65291
All I Want for Christmas Is You,26,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Japan,top200,MOVE_UP,11288
All I Want for Christmas Is You,3,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Latvia,top200,MOVE_UP,2931
All I Want for Christmas Is You,3,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Lithuania,top200,SAME_POSITION,3256
All I Want for Christmas Is You,83,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Malaysia,top200,MOVE_UP,6282
All I Want for Christmas Is You,16,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Netherlands,top200,MOVE_UP,118700
All I Want for Christmas Is You,25,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,New Zealand,top200,MOVE_UP,21986
All I Want for Christmas Is You,1,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,MOVE_UP,128501
