Position;Track_Name;Artist;Streams;URL
181;Arcade;Duncan Laurence;5700810;https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
182;Una Vaina Loca;Fuego;5694995;https://open.spotify.com/track/2qEoAz0i6yEz5dPggABcLH
183;favorite crime;Olivia Rodrigo;5692150;https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
184;Coração Cachorro;Avine Vinny;5680235;https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE
185;Leave Before You Love Me (with Jonas Brothers);Marshmello;5663331;https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
186;Say You Won't Let Go;James Arthur;5627304;https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
187;The Nights;Avicii;5620593;https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
188;Love In The Dark;Adele;5606219;https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
189;Talking to the Moon;Bruno Mars;5602666;https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
190;Pareja Del Año;Sebastian Yatra;5569527;https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
191;Tiroteo - Remix;Marc Seguí;5547903;https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
192;abcdefu - angrier;GAYLE;5544011;https://open.spotify.com/track/1EQFOouqdKYdpbNoOHRVO2
193;Mr. Brightside;The Killers;5533395;https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
194;The Real Slim Shady;Eminem;5525312;https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
195;telepatía;Kali Uchis;5519916;https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
196;Miénteme;TINI;5510231;https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
197;Jocelyn Flores;XXXTENTACION;5501607;https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
198;Counting Stars;OneRepublic;5493142;https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
199;Die For You;The Weeknd;5492516;https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
200;Toma Toma Vapo Vapo;Zé Felipe;5484939;https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
